K_exponents,base_chart,pulled_back_factor_linear_forms_Z_X_Y
"[1, 1, 1, 1]",C1000,"[[1, 27, 14], [1, 4, 14], [1, 0, 1], [1, 7, 17]]"
"[1, 1, 1, 1]",C1001,"[[1, 27, 14], [1, 4, 14], [1, 0, 1], [1, 24, 17]]"
"[1, 1, 1, 1]",C1010,"[[1, 27, 14], [1, 4, 14], [1, 0, 10], [1, 7, 17]]"
"[1, 1, 1, 1]",C1011,"[[1, 27, 14], [1, 4, 14], [1, 0, 10], [1, 24, 17]]"
"[1, 1, 1, 1]",C1100,"[[1, 27, 14], [1, 27, 14], [1, 0, 1], [1, 7, 17]]"
"[1, 1, 1, 1]",C1101,"[[1, 27, 14], [1, 27, 14], [1, 0, 1], [1, 24, 17]]"
"[1, 1, 1, 1]",C1110,"[[1, 27, 14], [1, 27, 14], [1, 0, 10], [1, 7, 17]]"
"[1, 1, 1, 1]",C1111,"[[1, 27, 14], [1, 27, 14], [1, 0, 10], [1, 24, 17]]"
"[1, 1, 1, 2]",C0000,"[[1, 4, 14], [1, 7, 17], [1, 7, 14], [1, 0, 1]]"
"[1, 1, 1, 2]",C0001,"[[1, 4, 14], [1, 7, 17], [1, 7, 14], [1, 0, 10]]"
"[1, 1, 1, 2]",C0010,"[[1, 4, 14], [1, 7, 17], [1, 24, 14], [1, 0, 1]]"
"[1, 1, 1, 2]",C0011,"[[1, 4, 14], [1, 7, 17], [1, 24, 14], [1, 0, 10]]"
"[1, 1, 1, 2]",C0100,"[[1, 4, 14], [1, 24, 17], [1, 7, 14], [1, 0, 1]]"
"[1, 1, 1, 2]",C0101,"[[1, 4, 14], [1, 24, 17], [1, 7, 14], [1, 0, 10]]"
"[1, 1, 1, 2]",C0110,"[[1, 4, 14], [1, 24, 17], [1, 24, 14], [1, 0, 1]]"
"[1, 1, 1, 2]",C0111,"[[1, 4, 14], [1, 24, 17], [1, 24, 14], [1, 0, 10]]"
"[1, 1, 1, 2]",C1000,"[[1, 27, 14], [1, 7, 17], [1, 7, 14], [1, 0, 1]]"
"[1, 1, 1, 2]",C1001,"[[1, 27, 14], [1, 7, 17], [1, 7, 14], [1, 0, 10]]"
"[1, 1, 1, 2]",C1010,"[[1, 27, 14], [1, 7, 17], [1, 24, 14], [1, 0, 1]]"
"[1, 1, 1, 2]",C1011,"[[1, 27, 14], [1, 7, 17], [1, 24, 14], [1, 0, 10]]"
"[1, 1, 1, 2]",C1100,"[[1, 27, 14], [1, 24, 17], [1, 7, 14], [1, 0, 1]]"
"[1, 1, 1, 2]",C1101,"[[1, 27, 14], [1, 24, 17], [1, 7, 14], [1, 0, 10]]"
"[1, 1, 1, 2]",C1110,"[[1, 27, 14], [1, 24, 17], [1, 24, 14], [1, 0, 1]]"
"[1, 1, 1, 2]",C1111,"[[1, 27, 14], [1, 24, 17], [1, 24, 14], [1, 0, 10]]"
"[1, 1, 2, 0]",C0000,"[[1, 4, 14], [1, 0, 30], [1, 0, 0], [1, 4, 14]]"
"[1, 1, 2, 0]",C0001,"[[1, 4, 14], [1, 0, 30], [1, 0, 0], [1, 27, 14]]"
"[1, 1, 2, 0]",C0010,"[[1, 4, 14], [1, 0, 30], [0, 0, 1], [1, 4, 14]]"
"[1, 1, 2, 0]",C0011,"[[1, 4, 14], [1, 0, 30], [0, 0, 1], [1, 27, 14]]"
"[1, 1, 2, 0]",C0100,"[[1, 4, 14], [1, 0, 21], [1, 0, 0], [1, 4, 14]]"
"[1, 1, 2, 0]",C0101,"[[1, 4, 14], [1, 0, 21], [1, 0, 0], [1, 27, 14]]"
"[1, 1, 2, 0]",C0110,"[[1, 4, 14], [1, 0, 21], [0, 0, 1], [1, 4, 14]]"
"[1, 1, 2, 0]",C0111,"[[1, 4, 14], [1, 0, 21], [0, 0, 1], [1, 27, 14]]"
"[1, 1, 2, 0]",C1000,"[[1, 27, 14], [1, 0, 30], [1, 0, 0], [1, 4, 14]]"
"[1, 1, 2, 0]",C1001,"[[1, 27, 14], [1, 0, 30], [1, 0, 0], [1, 27, 14]]"
"[1, 1, 2, 0]",C1010,"[[1, 27, 14], [1, 0, 30], [0, 0, 1], [1, 4, 14]]"
"[1, 1, 2, 0]",C1011,"[[1, 27, 14], [1, 0, 30], [0, 0, 1], [1, 27, 14]]"
"[1, 1, 2, 0]",C1100,"[[1, 27, 14], [1, 0, 21], [1, 0, 0], [1, 4, 14]]"
"[1, 1, 2, 0]",C1101,"[[1, 27, 14], [1, 0, 21], [1, 0, 0], [1, 27, 14]]"
"[1, 1, 2, 0]",C1110,"[[1, 27, 14], [1, 0, 21], [0, 0, 1], [1, 4, 14]]"
"[1, 1, 2, 0]",C1111,"[[1, 27, 14], [1, 0, 21], [0, 0, 1], [1, 27, 14]]"
"[1, 1, 2, 1]",C0000,"[[1, 4, 14], [1, 7, 14], [1, 4, 14], [1, 7, 17]]"
"[1, 1, 2, 1]",C0001,"[[1, 4, 14], [1, 7, 14], [1, 4, 14], [1, 24, 17]]"
"[1, 1, 2, 1]",C0010,"[[1, 4, 14], [1, 7, 14], [1, 27, 14], [1, 7, 17]]"
"[1, 1, 2, 1]",C0011,"[[1, 4, 14], [1, 7, 14], [1, 27, 14], [1, 24, 17]]"
"[1, 1, 2, 1]",C0100,"[[1, 4, 14], [1, 24, 14], [1, 4, 14], [1, 7, 17]]"
"[1, 1, 2, 1]",C0101,"[[1, 4, 14], [1, 24, 14], [1, 4, 14], [1, 24, 17]]"
"[1, 1, 2, 1]",C0110,"[[1, 4, 14], [1, 24, 14], [1, 27, 14], [1, 7, 17]]"
"[1, 1, 2, 1]",C0111,"[[1, 4, 14], [1, 24, 14], [1, 27, 14], [1, 24, 17]]"
"[1, 1, 2, 1]",C1000,"[[1, 27, 14], [1, 7, 14], [1, 4, 14], [1, 7, 17]]"
"[1, 1, 2, 1]",C1001,"[[1, 27, 14], [1, 7, 14], [1, 4, 14], [1, 24, 17]]"
"[1, 1, 2, 1]",C1010,"[[1, 27, 14], [1, 7, 14], [1, 27, 14], [1, 7, 17]]"
"[1, 1, 2, 1]",C1011,"[[1, 27, 14], [1, 7, 14], [1, 27, 14], [1, 24, 17]]"
"[1, 1, 2, 1]",C1100,"[[1, 27, 14], [1, 24, 14], [1, 4, 14], [1, 7, 17]]"
"[1, 1, 2, 1]",C1101,"[[1, 27, 14], [1, 24, 14], [1, 4, 14], [1, 24, 17]]"
"[1, 1, 2, 1]",C1110,"[[1, 27, 14], [1, 24, 14], [1, 27, 14], [1, 7, 17]]"
"[1, 1, 2, 1]",C1111,"[[1, 27, 14], [1, 24, 14], [1, 27, 14], [1, 24, 17]]"
"[1, 1, 2, 2]",C0000,"[[1, 4, 14], [1, 4, 17], [1, 4, 17], [1, 0, 1]]"
"[1, 1, 2, 2]",C0001,"[[1, 4, 14], [1, 4, 17], [1, 4, 17], [1, 0, 10]]"
"[1, 1, 2, 2]",C0010,"[[1, 4, 14], [1, 4, 17], [1, 27, 17], [1, 0, 1]]"
"[1, 1, 2, 2]",C0011,"[[1, 4, 14], [1, 4, 17], [1, 27, 17], [1, 0, 10]]"
"[1, 1, 2, 2]",C0100,"[[1, 4, 14], [1, 27, 17], [1, 4, 17], [1, 0, 1]]"
"[1, 1, 2, 2]",C0101,"[[1, 4, 14], [1, 27, 17], [1, 4, 17], [1, 0, 10]]"
"[1, 1, 2, 2]",C0110,"[[1, 4, 14], [1, 27, 17], [1, 27, 17], [1, 0, 1]]"
"[1, 1, 2, 2]",C0111,"[[1, 4, 14], [1, 27, 17], [1, 27, 17], [1, 0, 10]]"
"[1, 1, 2, 2]",C1000,"[[1, 27, 14], [1, 4, 17], [1, 4, 17], [1, 0, 1]]"
"[1, 1, 2, 2]",C1001,"[[1, 27, 14], [1, 4, 17], [1, 4, 17], [1, 0, 10]]"
"[1, 1, 2, 2]",C1010,"[[1, 27, 14], [1, 4, 17], [1, 27, 17], [1, 0, 1]]"
"[1, 1, 2, 2]",C1011,"[[1, 27, 14], [1, 4, 17], [1, 27, 17], [1, 0, 10]]"
"[1, 1, 2, 2]",C1100,"[[1, 27, 14], [1, 27, 17], [1, 4, 17], [1, 0, 1]]"
"[1, 1, 2, 2]",C1101,"[[1, 27, 14], [1, 27, 17], [1, 4, 17], [1, 0, 10]]"
"[1, 1, 2, 2]",C1110,"[[1, 27, 14], [1, 27, 17], [1, 27, 17], [1, 0, 1]]"
"[1, 1, 2, 2]",C1111,"[[1, 27, 14], [1, 27, 17], [1, 27, 17], [1, 0, 10]]"
"[1, 2, 0, 0]",C0000,"[[1, 7, 17], [1, 0, 0], [1, 20, 17], [1, 7, 14]]"
"[1, 2, 0, 0]",C0001,"[[1, 7, 17], [1, 0, 0], [1, 20, 17], [1, 24, 14]]"
"[1, 2, 0, 0]",C0010,"[[1, 7, 17], [1, 0, 0], [1, 11, 17], [1, 7, 14]]"
"[1, 2, 0, 0]",C0011,"[[1, 7, 17], [1, 0, 0], [1, 11, 17], [1, 24, 14]]"
"[1, 2, 0, 0]",C0100,"[[1, 7, 17], [0, 0, 1], [1, 20, 17], [1, 7, 14]]"
"[1, 2, 0, 0]",C0101,"[[1, 7, 17], [0, 0, 1], [1, 20, 17], [1, 24, 14]]"
"[1, 2, 0, 0]",C0110,"[[1, 7, 17], [0, 0, 1], [1, 11, 17], [1, 7, 14]]"
"[1, 2, 0, 0]",C0111,"[[1, 7, 17], [0, 0, 1], [1, 11, 17], [1, 24, 14]]"
"[1, 2, 0, 0]",C1000,"[[1, 24, 17], [1, 0, 0], [1, 20, 17], [1, 7, 14]]"
"[1, 2, 0, 0]",C1001,"[[1, 24, 17], [1, 0, 0], [1, 20, 17], [1, 24, 14]]"
"[1, 2, 0, 0]",C1010,"[[1, 24, 17], [1, 0, 0], [1, 11, 17], [1, 7, 14]]"
"[1, 2, 0, 0]",C1011,"[[1, 24, 17], [1, 0, 0], [1, 11, 17], [1, 24, 14]]"
"[1, 2, 0, 0]",C1100,"[[1, 24, 17], [0, 0, 1], [1, 20, 17], [1, 7, 14]]"
"[1, 2, 0, 0]",C1101,"[[1, 24, 17], [0, 0, 1], [1, 20, 17], [1, 24, 14]]"
"[1, 2, 0, 0]",C1110,"[[1, 24, 17], [0, 0, 1], [1, 11, 17], [1, 7, 14]]"
"[1, 2, 0, 0]",C1111,"[[1, 24, 17], [0, 0, 1], [1, 11, 17], [1, 24, 14]]"
"[1, 2, 0, 1]",C0000,"[[1, 7, 17], [1, 20, 14], [1, 0, 1], [1, 4, 17]]"
"[1, 2, 0, 1]",C0001,"[[1, 7, 17], [1, 20, 14], [1, 0, 1], [1, 27, 17]]"
"[1, 2, 0, 1]",C0010,"[[1, 7, 17], [1, 20, 14], [1, 0, 10], [1, 4, 17]]"
"[1, 2, 0, 1]",C0011,"[[1, 7, 17], [1, 20, 14], [1, 0, 10], [1, 27, 17]]"
"[1, 2, 0, 1]",C0100,"[[1, 7, 17], [1, 11, 14], [1, 0, 1], [1, 4, 17]]"
"[1, 2, 0, 1]",C0101,"[[1, 7, 17], [1, 11, 14], [1, 0, 1], [1, 27, 17]]"
"[1, 2, 0, 1]",C0110,"[[1, 7, 17], [1, 11, 14], [1, 0, 10], [1, 4, 17]]"
"[1, 2, 0, 1]",C0111,"[[1, 7, 17], [1, 11, 14], [1, 0, 10], [1, 27, 17]]"
"[1, 2, 0, 1]",C1000,"[[1, 24, 17], [1, 20, 14], [1, 0, 1], [1, 4, 17]]"
"[1, 2, 0, 1]",C1001,"[[1, 24, 17], [1, 20, 14], [1, 0, 1], [1, 27, 17]]"
"[1, 2, 0, 1]",C1010,"[[1, 24, 17], [1, 20, 14], [1, 0, 10], [1, 4, 17]]"
"[1, 2, 0, 1]",C1011,"[[1, 24, 17], [1, 20, 14], [1, 0, 10], [1, 27, 17]]"
"[1, 2, 0, 1]",C1100,"[[1, 24, 17], [1, 11, 14], [1, 0, 1], [1, 4, 17]]"
"[1, 2, 0, 1]",C1101,"[[1, 24, 17], [1, 11, 14], [1, 0, 1], [1, 27, 17]]"
"[1, 2, 0, 1]",C1110,"[[1, 24, 17], [1, 11, 14], [1, 0, 10], [1, 4, 17]]"
"[1, 2, 0, 1]",C1111,"[[1, 24, 17], [1, 11, 14], [1, 0, 10], [1, 27, 17]]"
"[1, 2, 0, 2]",C0000,"[[1, 7, 17], [1, 20, 17], [1, 7, 14], [1, 0, 30]]"
"[1, 2, 0, 2]",C0001,"[[1, 7, 17], [1, 20, 17], [1, 7, 14], [1, 0, 21]]"
"[1, 2, 0, 2]",C0010,"[[1, 7, 17], [1, 20, 17], [1, 24, 14], [1, 0, 30]]"
"[1, 2, 0, 2]",C0011,"[[1, 7, 17], [1, 20, 17], [1, 24, 14], [1, 0, 21]]"
"[1, 2, 0, 2]",C0100,"[[1, 7, 17], [1, 11, 17], [1, 7, 14], [1, 0, 30]]"
"[1, 2, 0, 2]",C0101,"[[1, 7, 17], [1, 11, 17], [1, 7, 14], [1, 0, 21]]"
"[1, 2, 0, 2]",C0110,"[[1, 7, 17], [1, 11, 17], [1, 24, 14], [1, 0, 30]]"
"[1, 2, 0, 2]",C0111,"[[1, 7, 17], [1, 11, 17], [1, 24, 14], [1, 0, 21]]"
"[1, 2, 0, 2]",C1000,"[[1, 24, 17], [1, 20, 17], [1, 7, 14], [1, 0, 30]]"
"[1, 2, 0, 2]",C1001,"[[1, 24, 17], [1, 20, 17], [1, 7, 14], [1, 0, 21]]"
"[1, 2, 0, 2]",C1010,"[[1, 24, 17], [1, 20, 17], [1, 24, 14], [1, 0, 30]]"
"[1, 2, 0, 2]",C1011,"[[1, 24, 17], [1, 20, 17], [1, 24, 14], [1, 0, 21]]"
"[1, 2, 0, 2]",C1100,"[[1, 24, 17], [1, 11, 17], [1, 7, 14], [1, 0, 30]]"
"[1, 2, 0, 2]",C1101,"[[1, 24, 17], [1, 11, 17], [1, 7, 14], [1, 0, 21]]"
"[1, 2, 0, 2]",C1110,"[[1, 24, 17], [1, 11, 17], [1, 24, 14], [1, 0, 30]]"
"[1, 2, 0, 2]",C1111,"[[1, 24, 17], [1, 11, 17], [1, 24, 14], [1, 0, 21]]"
"[1, 2, 1, 0]",C0000,"[[1, 7, 17], [1, 0, 1], [1, 0, 0], [1, 7, 14]]"
"[1, 2, 1, 0]",C0001,"[[1, 7, 17], [1, 0, 1], [1, 0, 0], [1, 24, 14]]"
"[1, 2, 1, 0]",C0010,"[[1, 7, 17], [1, 0, 1], [0, 0, 1], [1, 7, 14]]"
"[1, 2, 1, 0]",C0011,"[[1, 7, 17], [1, 0, 1], [0, 0, 1], [1, 24, 14]]"
"[1, 2, 1, 0]",C0100,"[[1, 7, 17], [1, 0, 10], [1, 0, 0], [1, 7, 14]]"
"[1, 2, 1, 0]",C0101,"[[1, 7, 17], [1, 0, 10], [1, 0, 0], [1, 24, 14]]"
"[1, 2, 1, 0]",C0110,"[[1, 7, 17], [1, 0, 10], [0, 0, 1], [1, 7, 14]]"
"[1, 2, 1, 0]",C0111,"[[1, 7, 17], [1, 0, 10], [0, 0, 1], [1, 24, 14]]"
"[1, 2, 1, 0]",C1000,"[[1, 24, 17], [1, 0, 1], [1, 0, 0], [1, 7, 14]]"
"[1, 2, 1, 0]",C1001,"[[1, 24, 17], [1, 0, 1], [1, 0, 0], [1, 24, 14]]"
"[1, 2, 1, 0]",C1010,"[[1, 24, 17], [1, 0, 1], [0, 0, 1], [1, 7, 14]]"
"[1, 2, 1, 0]",C1011,"[[1, 24, 17], [1, 0, 1], [0, 0, 1], [1, 24, 14]]"
"[1, 2, 1, 0]",C1100,"[[1, 24, 17], [1, 0, 10], [1, 0, 0], [1, 7, 14]]"
"[1, 2, 1, 0]",C1101,"[[1, 24, 17], [1, 0, 10], [1, 0, 0], [1, 24, 14]]"
"[1, 2, 1, 0]",C1110,"[[1, 24, 17], [1, 0, 10], [0, 0, 1], [1, 7, 14]]"
"[1, 2, 1, 0]",C1111,"[[1, 24, 17], [1, 0, 10], [0, 0, 1], [1, 24, 14]]"
"[1, 2, 1, 1]",C0000,"[[1, 7, 17], [1, 4, 14], [1, 4, 14], [1, 4, 17]]"
"[1, 2, 1, 1]",C0001,"[[1, 7, 17], [1, 4, 14], [1, 4, 14], [1, 27, 17]]"
"[1, 2, 1, 1]",C0010,"[[1, 7, 17], [1, 4, 14], [1, 27, 14], [1, 4, 17]]"
"[1, 2, 1, 1]",C0011,"[[1, 7, 17], [1, 4, 14], [1, 27, 14], [1, 27, 17]]"
"[1, 2, 1, 1]",C0100,"[[1, 7, 17], [1, 27, 14], [1, 4, 14], [1, 4, 17]]"
"[1, 2, 1, 1]",C0101,"[[1, 7, 17], [1, 27, 14], [1, 4, 14], [1, 27, 17]]"
"[1, 2, 1, 1]",C0110,"[[1, 7, 17], [1, 27, 14], [1, 27, 14], [1, 4, 17]]"
"[1, 2, 1, 1]",C0111,"[[1, 7, 17], [1, 27, 14], [1, 27, 14], [1, 27, 17]]"
"[1, 2, 1, 1]",C1000,"[[1, 24, 17], [1, 4, 14], [1, 4, 14], [1, 4, 17]]"
"[1, 2, 1, 1]",C1001,"[[1, 24, 17], [1, 4, 14], [1, 4, 14], [1, 27, 17]]"
"[1, 2, 1, 1]",C1010,"[[1, 24, 17], [1, 4, 14], [1, 27, 14], [1, 4, 17]]"
"[1, 2, 1, 1]",C1011,"[[1, 24, 17], [1, 4, 14], [1, 27, 14], [1, 27, 17]]"
"[1, 2, 1, 1]",C1100,"[[1, 24, 17], [1, 27, 14], [1, 4, 14], [1, 4, 17]]"
"[1, 2, 1, 1]",C1101,"[[1, 24, 17], [1, 27, 14], [1, 4, 14], [1, 27, 17]]"
"[1, 2, 1, 1]",C1110,"[[1, 24, 17], [1, 27, 14], [1, 27, 14], [1, 4, 17]]"
"[1, 2, 1, 1]",C1111,"[[1, 24, 17], [1, 27, 14], [1, 27, 14], [1, 27, 17]]"
"[1, 2, 1, 2]",C0000,"[[1, 7, 17], [1, 7, 17], [1, 4, 17], [1, 0, 30]]"
"[1, 2, 1, 2]",C0001,"[[1, 7, 17], [1, 7, 17], [1, 4, 17], [1, 0, 21]]"
"[1, 2, 1, 2]",C0010,"[[1, 7, 17], [1, 7, 17], [1, 27, 17], [1, 0, 30]]"
"[1, 2, 1, 2]",C0011,"[[1, 7, 17], [1, 7, 17], [1, 27, 17], [1, 0, 21]]"
"[1, 2, 1, 2]",C0100,"[[1, 7, 17], [1, 24, 17], [1, 4, 17], [1, 0, 30]]"
"[1, 2, 1, 2]",C0101,"[[1, 7, 17], [1, 24, 17], [1, 4, 17], [1, 0, 21]]"
"[1, 2, 1, 2]",C0110,"[[1, 7, 17], [1, 24, 17], [1, 27, 17], [1, 0, 30]]"
"[1, 2, 1, 2]",C0111,"[[1, 7, 17], [1, 24, 17], [1, 27, 17], [1, 0, 21]]"
"[1, 2, 1, 2]",C1000,"[[1, 24, 17], [1, 7, 17], [1, 4, 17], [1, 0, 30]]"
"[1, 2, 1, 2]",C1001,"[[1, 24, 17], [1, 7, 17], [1, 4, 17], [1, 0, 21]]"
"[1, 2, 1, 2]",C1010,"[[1, 24, 17], [1, 7, 17], [1, 27, 17], [1, 0, 30]]"
"[1, 2, 1, 2]",C1011,"[[1, 24, 17], [1, 7, 17], [1, 27, 17], [1, 0, 21]]"
"[1, 2, 1, 2]",C1100,"[[1, 24, 17], [1, 24, 17], [1, 4, 17], [1, 0, 30]]"
"[1, 2, 1, 2]",C1101,"[[1, 24, 17], [1, 24, 17], [1, 4, 17], [1, 0, 21]]"
"[1, 2, 1, 2]",C1110,"[[1, 24, 17], [1, 24, 17], [1, 27, 17], [1, 0, 30]]"
"[1, 2, 1, 2]",C1111,"[[1, 24, 17], [1, 24, 17], [1, 27, 17], [1, 0, 21]]"
"[1, 2, 2, 0]",C0000,"[[1, 7, 17], [1, 0, 30], [1, 20, 14], [1, 7, 14]]"
"[1, 2, 2, 0]",C0001,"[[1, 7, 17], [1, 0, 30], [1, 20, 14], [1, 24, 14]]"
"[1, 2, 2, 0]",C0010,"[[1, 7, 17], [1, 0, 30], [1, 11, 14], [1, 7, 14]]"
"[1, 2, 2, 0]",C0011,"[[1, 7, 17], [1, 0, 30], [1, 11, 14], [1, 24, 14]]"
"[1, 2, 2, 0]",C0100,"[[1, 7, 17], [1, 0, 21], [1, 20, 14], [1, 7, 14]]"
"[1, 2, 2, 0]",C0101,"[[1, 7, 17], [1, 0, 21], [1, 20, 14], [1, 24, 14]]"
"[1, 2, 2, 0]",C0110,"[[1, 7, 17], [1, 0, 21], [1, 11, 14], [1, 7, 14]]"
"[1, 2, 2, 0]",C0111,"[[1, 7, 17], [1, 0, 21], [1, 11, 14], [1, 24, 14]]"
"[1, 2, 2, 0]",C1000,"[[1, 24, 17], [1, 0, 30], [1, 20, 14], [1, 7, 14]]"
"[1, 2, 2, 0]",C1001,"[[1, 24, 17], [1, 0, 30], [1, 20, 14], [1, 24, 14]]"
"[1, 2, 2, 0]",C1010,"[[1, 24, 17], [1, 0, 30], [1, 11, 14], [1, 7, 14]]"
"[1, 2, 2, 0]",C1011,"[[1, 24, 17], [1, 0, 30], [1, 11, 14], [1, 24, 14]]"
"[1, 2, 2, 0]",C1100,"[[1, 24, 17], [1, 0, 21], [1, 20, 14], [1, 7, 14]]"
"[1, 2, 2, 0]",C1101,"[[1, 24, 17], [1, 0, 21], [1, 20, 14], [1, 24, 14]]"
"[1, 2, 2, 0]",C1110,"[[1, 24, 17], [1, 0, 21], [1, 11, 14], [1, 7, 14]]"
"[1, 2, 2, 0]",C1111,"[[1, 24, 17], [1, 0, 21], [1, 11, 14], [1, 24, 14]]"
"[1, 2, 2, 1]",C0000,"[[1, 7, 17], [1, 7, 14], [1, 7, 17], [1, 4, 17]]"
"[1, 2, 2, 1]",C0001,"[[1, 7, 17], [1, 7, 14], [1, 7, 17], [1, 27, 17]]"
"[1, 2, 2, 1]",C0010,"[[1, 7, 17], [1, 7, 14], [1, 24, 17], [1, 4, 17]]"
"[1, 2, 2, 1]",C0011,"[[1, 7, 17], [1, 7, 14], [1, 24, 17], [1, 27, 17]]"
"[1, 2, 2, 1]",C0100,"[[1, 7, 17], [1, 24, 14], [1, 7, 17], [1, 4, 17]]"
"[1, 2, 2, 1]",C0101,"[[1, 7, 17], [1, 24, 14], [1, 7, 17], [1, 27, 17]]"
"[1, 2, 2, 1]",C0110,"[[1, 7, 17], [1, 24, 14], [1, 24, 17], [1, 4, 17]]"
"[1, 2, 2, 1]",C0111,"[[1, 7, 17], [1, 24, 14], [1, 24, 17], [1, 27, 17]]"
"[1, 2, 2, 1]",C1000,"[[1, 24, 17], [1, 7, 14], [1, 7, 17], [1, 4, 17]]"
"[1, 2, 2, 1]",C1001,"[[1, 24, 17], [1, 7, 14], [1, 7, 17], [1, 27, 17]]"
"[1, 2, 2, 1]",C1010,"[[1, 24, 17], [1, 7, 14], [1, 24, 17], [1, 4, 17]]"
"[1, 2, 2, 1]",C1011,"[[1, 24, 17], [1, 7, 14], [1, 24, 17], [1, 27, 17]]"
"[1, 2, 2, 1]",C1100,"[[1, 24, 17], [1, 24, 14], [1, 7, 17], [1, 4, 17]]"
"[1, 2, 2, 1]",C1101,"[[1, 24, 17], [1, 24, 14], [1, 7, 17], [1, 27, 17]]"
"[1, 2, 2, 1]",C1110,"[[1, 24, 17], [1, 24, 14], [1, 24, 17], [1, 4, 17]]"
"[1, 2, 2, 1]",C1111,"[[1, 24, 17], [1, 24, 14], [1, 24, 17], [1, 27, 17]]"
"[1, 2, 2, 2]",C0000,"[[1, 7, 17], [1, 4, 17], [1, 0, 30], [1, 0, 30]]"
"[1, 2, 2, 2]",C0001,"[[1, 7, 17], [1, 4, 17], [1, 0, 30], [1, 0, 21]]"
"[1, 2, 2, 2]",C0010,"[[1, 7, 17], [1, 4, 17], [1, 0, 21], [1, 0, 30]]"
"[1, 2, 2, 2]",C0011,"[[1, 7, 17], [1, 4, 17], [1, 0, 21], [1, 0, 21]]"
"[1, 2, 2, 2]",C0100,"[[1, 7, 17], [1, 27, 17], [1, 0, 30], [1, 0, 30]]"
"[1, 2, 2, 2]",C0101,"[[1, 7, 17], [1, 27, 17], [1, 0, 30], [1, 0, 21]]"
"[1, 2, 2, 2]",C0110,"[[1, 7, 17], [1, 27, 17], [1, 0, 21], [1, 0, 30]]"
"[1, 2, 2, 2]",C0111,"[[1, 7, 17], [1, 27, 17], [1, 0, 21], [1, 0, 21]]"
"[1, 2, 2, 2]",C1000,"[[1, 24, 17], [1, 4, 17], [1, 0, 30], [1, 0, 30]]"
"[1, 2, 2, 2]",C1001,"[[1, 24, 17], [1, 4, 17], [1, 0, 30], [1, 0, 21]]"
"[1, 2, 2, 2]",C1010,"[[1, 24, 17], [1, 4, 17], [1, 0, 21], [1, 0, 30]]"
"[1, 2, 2, 2]",C1011,"[[1, 24, 17], [1, 4, 17], [1, 0, 21], [1, 0, 21]]"
"[1, 2, 2, 2]",C1100,"[[1, 24, 17], [1, 27, 17], [1, 0, 30], [1, 0, 30]]"
"[1, 2, 2, 2]",C1101,"[[1, 24, 17], [1, 27, 17], [1, 0, 30], [1, 0, 21]]"
"[1, 2, 2, 2]",C1110,"[[1, 24, 17], [1, 27, 17], [1, 0, 21], [1, 0, 30]]"
