job_id,source_K_index,target_K_index,generator,source_K_exponents,target_K_exponents,localized_overlap,source_frame_forms_in_base_1_u_v,target_frame_forms_in_base_1_u_v,normalized_H_scalar_mod_31,normalized_H_factor_circuit,normalized_O4H_scalar_mod_31,normalized_O4H_factor_circuit,whole_ring_J1_emitted,whole_ring_J2_emitted,whole_ring_lambda_correction_emitted,L0_A_source_equals_A_target_L1_certified
64,16,43,0,"[0, 1, 2, 1]","[1, 1, 2, 1]",invert all source and target factor-frame forms listed,"[[1,20,14],[20,16,1],[23,20,26],[12,17,13]]","[[12,17,13],[20,16,1],[23,20,26],[27,3,25]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
65,16,25,1,"[0, 1, 2, 1]","[0, 2, 2, 1]",invert all source and target factor-frame forms listed,"[[1,20,14],[20,16,1],[23,20,26],[12,17,13]]","[[2,9,3],[20,16,1],[13,22,19],[20,16,1]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
66,16,10,2,"[0, 1, 2, 1]","[0, 1, 0, 1]",invert all source and target factor-frame forms listed,"[[1,20,14],[20,16,1],[23,20,26],[12,17,13]]","[[1,20,14],[1,20,14],[21,26,14],[12,17,13]]",28,scalar*product(target_frame_forms)/product(source_frame_forms),19,normalized_H_factor_circuit^4,False,False,False,False
67,16,17,3,"[0, 1, 2, 1]","[0, 1, 2, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[20,16,1],[23,20,26],[12,17,13]]","[[1,20,14],[14,25,21],[15,22,10],[11,15,1]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
68,17,44,0,"[0, 1, 2, 2]","[1, 1, 2, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[14,25,21],[15,22,10],[11,15,1]]","[[12,17,13],[14,25,21],[15,22,10],[14,0,14]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
69,17,26,1,"[0, 1, 2, 2]","[0, 2, 2, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[14,25,21],[15,22,10],[11,15,1]]","[[2,9,3],[14,25,21],[6,0,18],[14,25,21]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
70,17,11,2,"[0, 1, 2, 2]","[0, 1, 0, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[14,25,21],[15,22,10],[11,15,1]]","[[1,20,14],[2,9,3],[24,0,10],[11,15,1]]",28,scalar*product(target_frame_forms)/product(source_frame_forms),19,normalized_H_factor_circuit^4,False,False,False,False
71,17,15,3,"[0, 1, 2, 2]","[0, 1, 2, 0]",invert all source and target factor-frame forms listed,"[[1,20,14],[14,25,21],[15,22,10],[11,15,1]]","[[1,20,14],[29,0,2],[8,0,0],[1,0,1]]",2,scalar*product(target_frame_forms)/product(source_frame_forms),16,normalized_H_factor_circuit^4,False,False,False,False
72,18,45,0,"[0, 2, 0, 0]","[1, 2, 0, 0]",invert all source and target factor-frame forms listed,"[[2,9,3],[1,0,0],[29,6,9],[29,0,2]]","[[11,15,1],[1,0,0],[29,6,9],[7,18,5]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
73,18,0,1,"[0, 2, 0, 0]","[0, 0, 0, 0]",invert all source and target factor-frame forms listed,"[[2,9,3],[1,0,0],[29,6,9],[29,0,2]]","[[1,0,0],[1,0,0],[1,0,0],[1,0,0]]",10,scalar*product(target_frame_forms)/product(source_frame_forms),18,normalized_H_factor_circuit^4,False,False,False,False
74,18,21,2,"[0, 2, 0, 0]","[0, 2, 1, 0]",invert all source and target factor-frame forms listed,"[[2,9,3],[1,0,0],[29,6,9],[29,0,2]]","[[2,9,3],[1,0,1],[8,0,0],[29,0,2]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
75,18,19,3,"[0, 2, 0, 0]","[0, 2, 0, 1]",invert all source and target factor-frame forms listed,"[[2,9,3],[1,0,0],[29,6,9],[29,0,2]]","[[2,9,3],[1,20,14],[24,0,21],[20,16,1]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
76,19,46,0,"[0, 2, 0, 1]","[1, 2, 0, 1]",invert all source and target factor-frame forms listed,"[[2,9,3],[1,20,14],[24,0,21],[20,16,1]]","[[11,15,1],[1,20,14],[24,0,21],[8,1,12]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
77,19,1,1,"[0, 2, 0, 1]","[0, 0, 0, 1]",invert all source and target factor-frame forms listed,"[[2,9,3],[1,20,14],[24,0,21],[20,16,1]]","[[1,0,0],[1,20,14],[30,18,11],[1,20,14]]",10,scalar*product(target_frame_forms)/product(source_frame_forms),18,normalized_H_factor_circuit^4,False,False,False,False
78,19,22,2,"[0, 2, 0, 1]","[0, 2, 1, 1]",invert all source and target factor-frame forms listed,"[[2,9,3],[1,20,14],[24,0,21],[20,16,1]]","[[2,9,3],[12,17,13],[23,20,26],[20,16,1]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
79,19,20,3,"[0, 2, 0, 1]","[0, 2, 0, 2]",invert all source and target factor-frame forms listed,"[[2,9,3],[1,20,14],[24,0,21],[20,16,1]]","[[2,9,3],[2,9,3],[22,20,6],[14,25,21]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
80,20,47,0,"[0, 2, 0, 2]","[1, 2, 0, 2]",invert all source and target factor-frame forms listed,"[[2,9,3],[2,9,3],[22,20,6],[14,25,21]]","[[11,15,1],[2,9,3],[22,20,6],[13,0,18]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
81,20,2,1,"[0, 2, 0, 2]","[0, 0, 0, 2]",invert all source and target factor-frame forms listed,"[[2,9,3],[2,9,3],[22,20,6],[14,25,21]]","[[1,0,0],[2,9,3],[29,26,9],[2,9,3]]",10,scalar*product(target_frame_forms)/product(source_frame_forms),18,normalized_H_factor_circuit^4,False,False,False,False
82,20,23,2,"[0, 2, 0, 2]","[0, 2, 1, 2]",invert all source and target factor-frame forms listed,"[[2,9,3],[2,9,3],[22,20,6],[14,25,21]]","[[2,9,3],[11,15,1],[15,22,10],[14,25,21]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
83,20,18,3,"[0, 2, 0, 2]","[0, 2, 0, 0]",invert all source and target factor-frame forms listed,"[[2,9,3],[2,9,3],[22,20,6],[14,25,21]]","[[2,9,3],[1,0,0],[29,6,9],[29,0,2]]",2,scalar*product(target_frame_forms)/product(source_frame_forms),16,normalized_H_factor_circuit^4,False,False,False,False
84,21,48,0,"[0, 2, 1, 0]","[1, 2, 1, 0]",invert all source and target factor-frame forms listed,"[[2,9,3],[1,0,1],[8,0,0],[29,0,2]]","[[11,15,1],[1,0,1],[8,0,0],[7,18,5]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
85,21,3,1,"[0, 2, 1, 0]","[0, 0, 1, 0]",invert all source and target factor-frame forms listed,"[[2,9,3],[1,0,1],[8,0,0],[29,0,2]]","[[1,0,0],[1,0,1],[30,28,11],[1,0,0]]",10,scalar*product(target_frame_forms)/product(source_frame_forms),18,normalized_H_factor_circuit^4,False,False,False,False
86,21,24,2,"[0, 2, 1, 0]","[0, 2, 2, 0]",invert all source and target factor-frame forms listed,"[[2,9,3],[1,0,1],[8,0,0],[29,0,2]]","[[2,9,3],[29,0,2],[23,7,26],[29,0,2]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
87,21,22,3,"[0, 2, 1, 0]","[0, 2, 1, 1]",invert all source and target factor-frame forms listed,"[[2,9,3],[1,0,1],[8,0,0],[29,0,2]]","[[2,9,3],[12,17,13],[23,20,26],[20,16,1]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
88,22,49,0,"[0, 2, 1, 1]","[1, 2, 1, 1]",invert all source and target factor-frame forms listed,"[[2,9,3],[12,17,13],[23,20,26],[20,16,1]]","[[11,15,1],[12,17,13],[23,20,26],[8,1,12]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
89,22,4,1,"[0, 2, 1, 1]","[0, 0, 1, 1]",invert all source and target factor-frame forms listed,"[[2,9,3],[12,17,13],[23,20,26],[20,16,1]]","[[1,0,0],[12,17,13],[21,26,14],[1,20,14]]",10,scalar*product(target_frame_forms)/product(source_frame_forms),18,normalized_H_factor_circuit^4,False,False,False,False
90,22,25,2,"[0, 2, 1, 1]","[0, 2, 2, 1]",invert all source and target factor-frame forms listed,"[[2,9,3],[12,17,13],[23,20,26],[20,16,1]]","[[2,9,3],[20,16,1],[13,22,19],[20,16,1]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
91,22,23,3,"[0, 2, 1, 1]","[0, 2, 1, 2]",invert all source and target factor-frame forms listed,"[[2,9,3],[12,17,13],[23,20,26],[20,16,1]]","[[2,9,3],[11,15,1],[15,22,10],[14,25,21]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
92,23,50,0,"[0, 2, 1, 2]","[1, 2, 1, 2]",invert all source and target factor-frame forms listed,"[[2,9,3],[11,15,1],[15,22,10],[14,25,21]]","[[11,15,1],[11,15,1],[15,22,10],[13,0,18]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
93,23,5,1,"[0, 2, 1, 2]","[0, 0, 1, 2]",invert all source and target factor-frame forms listed,"[[2,9,3],[11,15,1],[15,22,10],[14,25,21]]","[[1,0,0],[11,15,1],[24,0,10],[2,9,3]]",10,scalar*product(target_frame_forms)/product(source_frame_forms),18,normalized_H_factor_circuit^4,False,False,False,False
94,23,26,2,"[0, 2, 1, 2]","[0, 2, 2, 2]",invert all source and target factor-frame forms listed,"[[2,9,3],[11,15,1],[15,22,10],[14,25,21]]","[[2,9,3],[14,25,21],[6,0,18],[14,25,21]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
95,23,21,3,"[0, 2, 1, 2]","[0, 2, 1, 0]",invert all source and target factor-frame forms listed,"[[2,9,3],[11,15,1],[15,22,10],[14,25,21]]","[[2,9,3],[1,0,1],[8,0,0],[29,0,2]]",2,scalar*product(target_frame_forms)/product(source_frame_forms),16,normalized_H_factor_circuit^4,False,False,False,False
96,24,51,0,"[0, 2, 2, 0]","[1, 2, 2, 0]",invert all source and target factor-frame forms listed,"[[2,9,3],[29,0,2],[23,7,26],[29,0,2]]","[[11,15,1],[29,0,2],[23,7,26],[7,18,5]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
97,24,6,1,"[0, 2, 2, 0]","[0, 0, 2, 0]",invert all source and target factor-frame forms listed,"[[2,9,3],[29,0,2],[23,7,26],[29,0,2]]","[[1,0,0],[29,0,2],[29,6,9],[1,0,0]]",10,scalar*product(target_frame_forms)/product(source_frame_forms),18,normalized_H_factor_circuit^4,False,False,False,False
98,24,18,2,"[0, 2, 2, 0]","[0, 2, 0, 0]",invert all source and target factor-frame forms listed,"[[2,9,3],[29,0,2],[23,7,26],[29,0,2]]","[[2,9,3],[1,0,0],[29,6,9],[29,0,2]]",28,scalar*product(target_frame_forms)/product(source_frame_forms),19,normalized_H_factor_circuit^4,False,False,False,False
99,24,25,3,"[0, 2, 2, 0]","[0, 2, 2, 1]",invert all source and target factor-frame forms listed,"[[2,9,3],[29,0,2],[23,7,26],[29,0,2]]","[[2,9,3],[20,16,1],[13,22,19],[20,16,1]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
100,25,52,0,"[0, 2, 2, 1]","[1, 2, 2, 1]",invert all source and target factor-frame forms listed,"[[2,9,3],[20,16,1],[13,22,19],[20,16,1]]","[[11,15,1],[20,16,1],[13,22,19],[8,1,12]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
101,25,7,1,"[0, 2, 2, 1]","[0, 0, 2, 1]",invert all source and target factor-frame forms listed,"[[2,9,3],[20,16,1],[13,22,19],[20,16,1]]","[[1,0,0],[20,16,1],[24,0,21],[1,20,14]]",10,scalar*product(target_frame_forms)/product(source_frame_forms),18,normalized_H_factor_circuit^4,False,False,False,False
102,25,19,2,"[0, 2, 2, 1]","[0, 2, 0, 1]",invert all source and target factor-frame forms listed,"[[2,9,3],[20,16,1],[13,22,19],[20,16,1]]","[[2,9,3],[1,20,14],[24,0,21],[20,16,1]]",28,scalar*product(target_frame_forms)/product(source_frame_forms),19,normalized_H_factor_circuit^4,False,False,False,False
103,25,26,3,"[0, 2, 2, 1]","[0, 2, 2, 2]",invert all source and target factor-frame forms listed,"[[2,9,3],[20,16,1],[13,22,19],[20,16,1]]","[[2,9,3],[14,25,21],[6,0,18],[14,25,21]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
104,26,53,0,"[0, 2, 2, 2]","[1, 2, 2, 2]",invert all source and target factor-frame forms listed,"[[2,9,3],[14,25,21],[6,0,18],[14,25,21]]","[[11,15,1],[14,25,21],[6,0,18],[13,0,18]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
105,26,8,1,"[0, 2, 2, 2]","[0, 0, 2, 2]",invert all source and target factor-frame forms listed,"[[2,9,3],[14,25,21],[6,0,18],[14,25,21]]","[[1,0,0],[14,25,21],[22,20,6],[2,9,3]]",10,scalar*product(target_frame_forms)/product(source_frame_forms),18,normalized_H_factor_circuit^4,False,False,False,False
106,26,20,2,"[0, 2, 2, 2]","[0, 2, 0, 2]",invert all source and target factor-frame forms listed,"[[2,9,3],[14,25,21],[6,0,18],[14,25,21]]","[[2,9,3],[2,9,3],[22,20,6],[14,25,21]]",28,scalar*product(target_frame_forms)/product(source_frame_forms),19,normalized_H_factor_circuit^4,False,False,False,False
107,26,24,3,"[0, 2, 2, 2]","[0, 2, 2, 0]",invert all source and target factor-frame forms listed,"[[2,9,3],[14,25,21],[6,0,18],[14,25,21]]","[[2,9,3],[29,0,2],[23,7,26],[29,0,2]]",2,scalar*product(target_frame_forms)/product(source_frame_forms),16,normalized_H_factor_circuit^4,False,False,False,False
108,27,54,0,"[1, 0, 0, 0]","[2, 0, 0, 0]",invert all source and target factor-frame forms listed,"[[1,0,1],[1,0,0],[1,0,0],[1,20,14]]","[[29,0,2],[1,0,0],[1,0,0],[2,9,3]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
109,27,36,1,"[1, 0, 0, 0]","[1, 1, 0, 0]",invert all source and target factor-frame forms listed,"[[1,0,1],[1,0,0],[1,0,0],[1,20,14]]","[[12,17,13],[1,0,0],[30,28,11],[21,22,15]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
110,27,30,2,"[1, 0, 0, 0]","[1, 0, 1, 0]",invert all source and target factor-frame forms listed,"[[1,0,1],[1,0,0],[1,0,0],[1,20,14]]","[[1,0,1],[1,0,1],[30,28,11],[1,20,14]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
111,27,28,3,"[1, 0, 0, 0]","[1, 0, 0, 1]",invert all source and target factor-frame forms listed,"[[1,0,1],[1,0,0],[1,0,0],[1,20,14]]","[[1,0,1],[1,20,14],[30,18,11],[2,9,3]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
112,28,55,0,"[1, 0, 0, 1]","[2, 0, 0, 1]",invert all source and target factor-frame forms listed,"[[1,0,1],[1,20,14],[30,18,11],[2,9,3]]","[[29,0,2],[1,20,14],[30,18,11],[8,0,0]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
113,28,37,1,"[1, 0, 0, 1]","[1, 1, 0, 1]",invert all source and target factor-frame forms listed,"[[1,0,1],[1,20,14],[30,18,11],[2,9,3]]","[[12,17,13],[1,20,14],[21,26,14],[27,3,25]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
114,28,31,2,"[1, 0, 0, 1]","[1, 0, 1, 1]",invert all source and target factor-frame forms listed,"[[1,0,1],[1,20,14],[30,18,11],[2,9,3]]","[[1,0,1],[12,17,13],[21,26,14],[2,9,3]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
115,28,29,3,"[1, 0, 0, 1]","[1, 0, 0, 2]",invert all source and target factor-frame forms listed,"[[1,0,1],[1,20,14],[30,18,11],[2,9,3]]","[[1,0,1],[2,9,3],[29,26,9],[8,0,0]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
116,29,56,0,"[1, 0, 0, 2]","[2, 0, 0, 2]",invert all source and target factor-frame forms listed,"[[1,0,1],[2,9,3],[29,26,9],[8,0,0]]","[[29,0,2],[2,9,3],[29,26,9],[8,5,19]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
117,29,38,1,"[1, 0, 0, 2]","[1, 1, 0, 2]",invert all source and target factor-frame forms listed,"[[1,0,1],[2,9,3],[29,26,9],[8,0,0]]","[[12,17,13],[2,9,3],[24,0,10],[14,0,14]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
118,29,32,2,"[1, 0, 0, 2]","[1, 0, 1, 2]",invert all source and target factor-frame forms listed,"[[1,0,1],[2,9,3],[29,26,9],[8,0,0]]","[[1,0,1],[11,15,1],[24,0,10],[8,0,0]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
119,29,27,3,"[1, 0, 0, 2]","[1, 0, 0, 0]",invert all source and target factor-frame forms listed,"[[1,0,1],[2,9,3],[29,26,9],[8,0,0]]","[[1,0,1],[1,0,0],[1,0,0],[1,20,14]]",2,scalar*product(target_frame_forms)/product(source_frame_forms),16,normalized_H_factor_circuit^4,False,False,False,False
120,30,57,0,"[1, 0, 1, 0]","[2, 0, 1, 0]",invert all source and target factor-frame forms listed,"[[1,0,1],[1,0,1],[30,28,11],[1,20,14]]","[[29,0,2],[1,0,1],[30,28,11],[2,9,3]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
121,30,39,1,"[1, 0, 1, 0]","[1, 1, 1, 0]",invert all source and target factor-frame forms listed,"[[1,0,1],[1,0,1],[30,28,11],[1,20,14]]","[[12,17,13],[1,0,1],[29,6,9],[21,22,15]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
122,30,33,2,"[1, 0, 1, 0]","[1, 0, 2, 0]",invert all source and target factor-frame forms listed,"[[1,0,1],[1,0,1],[30,28,11],[1,20,14]]","[[1,0,1],[29,0,2],[29,6,9],[1,20,14]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
123,30,31,3,"[1, 0, 1, 0]","[1, 0, 1, 1]",invert all source and target factor-frame forms listed,"[[1,0,1],[1,0,1],[30,28,11],[1,20,14]]","[[1,0,1],[12,17,13],[21,26,14],[2,9,3]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
124,31,58,0,"[1, 0, 1, 1]","[2, 0, 1, 1]",invert all source and target factor-frame forms listed,"[[1,0,1],[12,17,13],[21,26,14],[2,9,3]]","[[29,0,2],[12,17,13],[21,26,14],[8,0,0]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
125,31,40,1,"[1, 0, 1, 1]","[1, 1, 1, 1]",invert all source and target factor-frame forms listed,"[[1,0,1],[12,17,13],[21,26,14],[2,9,3]]","[[12,17,13],[12,17,13],[24,0,21],[27,3,25]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
126,31,34,2,"[1, 0, 1, 1]","[1, 0, 2, 1]",invert all source and target factor-frame forms listed,"[[1,0,1],[12,17,13],[21,26,14],[2,9,3]]","[[1,0,1],[20,16,1],[24,0,21],[2,9,3]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
127,31,32,3,"[1, 0, 1, 1]","[1, 0, 1, 2]",invert all source and target factor-frame forms listed,"[[1,0,1],[12,17,13],[21,26,14],[2,9,3]]","[[1,0,1],[11,15,1],[24,0,10],[8,0,0]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
128,32,59,0,"[1, 0, 1, 2]","[2, 0, 1, 2]",invert all source and target factor-frame forms listed,"[[1,0,1],[11,15,1],[24,0,10],[8,0,0]]","[[29,0,2],[11,15,1],[24,0,10],[8,5,19]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
