generator,generator_exponents,artifact_support_slot,source_support,target_support,support_pair_key,support_bindings_sha256
e0,"[1,0,0,0]",s00,"[1,1,5,1]","[2,1,5,16]","[[1,1,5,1],[2,1,5,16]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s01,"[1,2,33,1]","[2,2,33,16]","[[1,2,33,1],[2,2,33,16]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s02,"[1,8,10,15]","[2,8,10,1]","[[1,8,10,15],[2,8,10,1]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s03,"[1,14,28,16]","[2,14,28,15]","[[1,14,28,16],[2,14,28,15]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s04,"[1,15,34,15]","[2,15,34,1]","[[1,15,34,15],[2,15,34,1]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s05,"[1,16,29,16]","[2,16,29,15]","[[1,16,29,16],[2,16,29,15]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s06,"[1,17,6,15]","[2,17,6,1]","[[1,17,6,15],[2,17,6,1]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s07,"[7,1,33,17]","[16,1,33,2]","[[7,1,33,17],[16,1,33,2]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s08,"[7,2,9,17]","[16,2,9,2]","[[7,2,9,17],[16,2,9,2]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s09,"[7,7,29,2]","[16,7,29,14]","[[7,7,29,2],[16,7,29,14]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s10,"[7,8,34,14]","[16,8,34,17]","[[7,8,34,14],[16,8,34,17]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s11,"[7,15,6,14]","[16,15,6,17]","[[7,15,6,14],[16,15,6,17]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s12,"[7,16,28,2]","[16,16,28,14]","[[7,16,28,2],[16,16,28,14]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s13,"[7,17,10,14]","[16,17,10,17]","[[7,17,10,14],[16,17,10,17]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s14,"[8,8,6,7]","[15,8,6,8]","[[8,8,6,7],[15,8,6,8]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s15,"[8,15,10,7]","[15,15,10,8]","[[8,15,10,7],[15,15,10,8]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s16,"[8,17,34,7]","[15,17,34,8]","[[8,17,34,7],[15,17,34,8]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s17,"[14,1,33,14]","[7,1,33,17]","[[14,1,33,14],[7,1,33,17]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s18,"[14,2,9,14]","[7,2,9,17]","[[14,2,9,14],[7,2,9,17]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s19,"[14,7,29,17]","[7,7,29,2]","[[14,7,29,17],[7,7,29,2]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s20,"[14,8,34,2]","[7,8,34,14]","[[14,8,34,2],[7,8,34,14]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s21,"[14,15,6,2]","[7,15,6,14]","[[14,15,6,2],[7,15,6,14]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s22,"[14,16,28,17]","[7,16,28,2]","[[14,16,28,17],[7,16,28,2]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s23,"[14,17,10,2]","[7,17,10,14]","[[14,17,10,2],[7,17,10,14]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s24,"[15,7,28,7]","[17,7,28,8]","[[15,7,28,7],[17,7,28,8]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s25,"[15,14,29,7]","[17,14,29,8]","[[15,14,29,7],[17,14,29,8]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s26,"[16,1,33,2]","[14,1,33,14]","[[16,1,33,2],[14,1,33,14]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s27,"[16,2,9,2]","[14,2,9,14]","[[16,2,9,2],[14,2,9,14]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s28,"[16,7,29,14]","[14,7,29,17]","[[16,7,29,14],[14,7,29,17]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s29,"[16,8,34,17]","[14,8,34,2]","[[16,8,34,17],[14,8,34,2]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s30,"[16,15,6,17]","[14,15,6,2]","[[16,15,6,17],[14,15,6,2]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s31,"[16,16,28,14]","[14,16,28,17]","[[16,16,28,14],[14,16,28,17]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s32,"[16,17,10,17]","[14,17,10,2]","[[16,17,10,17],[14,17,10,2]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s33,"[17,1,9,7]","[8,1,9,8]","[[17,1,9,7],[8,1,9,8]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e0,"[1,0,0,0]",s34,"[17,2,5,7]","[8,2,5,8]","[[17,2,5,7],[8,2,5,8]]",b7ea8a47735070e051ae13dc06dd78501013e2ce4045c1ae90a66ac227ac926b
e1,"[0,1,0,0]",s00,"[1,1,5,1]","[16,1,33,2]","[[1,1,5,1],[16,1,33,2]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s01,"[1,2,33,1]","[16,2,9,2]","[[1,2,33,1],[16,2,9,2]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s02,"[1,8,10,15]","[16,8,34,17]","[[1,8,10,15],[16,8,34,17]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s03,"[1,15,34,15]","[16,15,6,17]","[[1,15,34,15],[16,15,6,17]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s04,"[1,16,29,16]","[16,16,28,14]","[[1,16,29,16],[16,16,28,14]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s05,"[1,17,6,15]","[16,17,10,17]","[[1,17,6,15],[16,17,10,17]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s06,"[2,1,5,16]","[14,1,33,14]","[[2,1,5,16],[14,1,33,14]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s07,"[2,2,33,16]","[14,2,9,14]","[[2,2,33,16],[14,2,9,14]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s08,"[2,8,10,1]","[14,8,34,2]","[[2,8,10,1],[14,8,34,2]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s09,"[2,15,34,1]","[14,15,6,2]","[[2,15,34,1],[14,15,6,2]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s10,"[2,16,29,15]","[14,16,28,17]","[[2,16,29,15],[14,16,28,17]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s11,"[2,17,6,1]","[14,17,10,2]","[[2,17,6,1],[14,17,10,2]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s12,"[7,1,33,17]","[8,1,9,8]","[[7,1,33,17],[8,1,9,8]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s13,"[7,2,9,17]","[8,2,5,8]","[[7,2,9,17],[8,2,5,8]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s14,"[7,8,34,14]","[8,8,6,7]","[[7,8,34,14],[8,8,6,7]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s15,"[7,15,6,14]","[8,15,10,7]","[[7,15,6,14],[8,15,10,7]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s16,"[7,17,10,14]","[8,17,34,7]","[[7,17,10,14],[8,17,34,7]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s17,"[14,1,33,14]","[17,1,9,7]","[[14,1,33,14],[17,1,9,7]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s18,"[14,2,9,14]","[17,2,5,7]","[[14,2,9,14],[17,2,5,7]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s19,"[14,7,29,17]","[17,7,28,8]","[[14,7,29,17],[17,7,28,8]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s20,"[15,8,6,8]","[1,8,10,15]","[[15,8,6,8],[1,8,10,15]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s21,"[15,14,29,7]","[1,14,28,16]","[[15,14,29,7],[1,14,28,16]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s22,"[15,15,10,8]","[1,15,34,15]","[[15,15,10,8],[1,15,34,15]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s23,"[15,17,34,8]","[1,17,6,15]","[[15,17,34,8],[1,17,6,15]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s24,"[16,7,29,14]","[15,7,28,7]","[[16,7,29,14],[15,7,28,7]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s25,"[16,8,34,17]","[15,8,6,8]","[[16,8,34,17],[15,8,6,8]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s26,"[16,15,6,17]","[15,15,10,8]","[[16,15,6,17],[15,15,10,8]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s27,"[16,17,10,17]","[15,17,34,8]","[[16,17,10,17],[15,17,34,8]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s28,"[17,1,9,7]","[2,1,5,16]","[[17,1,9,7],[2,1,5,16]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s29,"[17,2,5,7]","[2,2,33,16]","[[17,2,5,7],[2,2,33,16]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e1,"[0,1,0,0]",s30,"[17,14,29,8]","[2,14,28,15]","[[17,14,29,8],[2,14,28,15]]",f6db9f775c5b258e2c4a9c624d5b8b292a73dbba30ee0f995096b83b66891e18
e2,"[0,0,1,0]",s00,"[1,1,5,1]","[1,2,33,1]","[[1,1,5,1],[1,2,33,1]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s01,"[1,8,10,15]","[1,15,34,15]","[[1,8,10,15],[1,15,34,15]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s02,"[1,15,34,15]","[1,17,6,15]","[[1,15,34,15],[1,17,6,15]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s03,"[1,16,29,16]","[1,14,28,16]","[[1,16,29,16],[1,14,28,16]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s04,"[1,17,6,15]","[1,8,10,15]","[[1,17,6,15],[1,8,10,15]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s05,"[2,1,5,16]","[2,2,33,16]","[[2,1,5,16],[2,2,33,16]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s06,"[2,8,10,1]","[2,15,34,1]","[[2,8,10,1],[2,15,34,1]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s07,"[2,15,34,1]","[2,17,6,1]","[[2,15,34,1],[2,17,6,1]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s08,"[2,16,29,15]","[2,14,28,15]","[[2,16,29,15],[2,14,28,15]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s09,"[2,17,6,1]","[2,8,10,1]","[[2,17,6,1],[2,8,10,1]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s10,"[7,1,33,17]","[7,2,9,17]","[[7,1,33,17],[7,2,9,17]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s11,"[7,7,29,2]","[7,16,28,2]","[[7,7,29,2],[7,16,28,2]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s12,"[7,8,34,14]","[7,15,6,14]","[[7,8,34,14],[7,15,6,14]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s13,"[7,15,6,14]","[7,17,10,14]","[[7,15,6,14],[7,17,10,14]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s14,"[7,17,10,14]","[7,8,34,14]","[[7,17,10,14],[7,8,34,14]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s15,"[8,1,9,8]","[8,2,5,8]","[[8,1,9,8],[8,2,5,8]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s16,"[8,8,6,7]","[8,15,10,7]","[[8,8,6,7],[8,15,10,7]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s17,"[8,15,10,7]","[8,17,34,7]","[[8,15,10,7],[8,17,34,7]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s18,"[8,17,34,7]","[8,8,6,7]","[[8,17,34,7],[8,8,6,7]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s19,"[14,1,33,14]","[14,2,9,14]","[[14,1,33,14],[14,2,9,14]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s20,"[14,7,29,17]","[14,16,28,17]","[[14,7,29,17],[14,16,28,17]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s21,"[14,8,34,2]","[14,15,6,2]","[[14,8,34,2],[14,15,6,2]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s22,"[14,15,6,2]","[14,17,10,2]","[[14,15,6,2],[14,17,10,2]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s23,"[14,17,10,2]","[14,8,34,2]","[[14,17,10,2],[14,8,34,2]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s24,"[15,8,6,8]","[15,15,10,8]","[[15,8,6,8],[15,15,10,8]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s25,"[15,14,29,7]","[15,7,28,7]","[[15,14,29,7],[15,7,28,7]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s26,"[15,15,10,8]","[15,17,34,8]","[[15,15,10,8],[15,17,34,8]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s27,"[15,17,34,8]","[15,8,6,8]","[[15,17,34,8],[15,8,6,8]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s28,"[16,1,33,2]","[16,2,9,2]","[[16,1,33,2],[16,2,9,2]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s29,"[16,7,29,14]","[16,16,28,14]","[[16,7,29,14],[16,16,28,14]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s30,"[16,8,34,17]","[16,15,6,17]","[[16,8,34,17],[16,15,6,17]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s31,"[16,15,6,17]","[16,17,10,17]","[[16,15,6,17],[16,17,10,17]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s32,"[16,17,10,17]","[16,8,34,17]","[[16,17,10,17],[16,8,34,17]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s33,"[17,1,9,7]","[17,2,5,7]","[[17,1,9,7],[17,2,5,7]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e2,"[0,0,1,0]",s34,"[17,14,29,8]","[17,7,28,8]","[[17,14,29,8],[17,7,28,8]]",3cd8a385a41f7fb8802d9ae5519c1f7fd5f56f5a135760d3eb736a0e99668cad
e3,"[0,0,0,1]",s00,"[1,1,5,1]","[1,16,29,16]","[[1,1,5,1],[1,16,29,16]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s01,"[1,2,33,1]","[1,14,28,16]","[[1,2,33,1],[1,14,28,16]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s02,"[1,14,28,16]","[1,17,6,15]","[[1,14,28,16],[1,17,6,15]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s03,"[1,15,34,15]","[1,1,5,1]","[[1,15,34,15],[1,1,5,1]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s04,"[1,16,29,16]","[1,15,34,15]","[[1,16,29,16],[1,15,34,15]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s05,"[1,17,6,15]","[1,2,33,1]","[[1,17,6,15],[1,2,33,1]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s06,"[2,1,5,16]","[2,16,29,15]","[[2,1,5,16],[2,16,29,15]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s07,"[2,2,33,16]","[2,14,28,15]","[[2,2,33,16],[2,14,28,15]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s08,"[2,14,28,15]","[2,17,6,1]","[[2,14,28,15],[2,17,6,1]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s09,"[2,15,34,1]","[2,1,5,16]","[[2,15,34,1],[2,1,5,16]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s10,"[2,16,29,15]","[2,15,34,1]","[[2,16,29,15],[2,15,34,1]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s11,"[2,17,6,1]","[2,2,33,16]","[[2,17,6,1],[2,2,33,16]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s12,"[7,1,33,17]","[7,16,28,2]","[[7,1,33,17],[7,16,28,2]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s13,"[7,7,29,2]","[7,8,34,14]","[[7,7,29,2],[7,8,34,14]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s14,"[7,15,6,14]","[7,1,33,17]","[[7,15,6,14],[7,1,33,17]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s15,"[7,16,28,2]","[7,15,6,14]","[[7,16,28,2],[7,15,6,14]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s16,"[7,17,10,14]","[7,2,9,17]","[[7,17,10,14],[7,2,9,17]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s17,"[8,15,10,7]","[8,1,9,8]","[[8,15,10,7],[8,1,9,8]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s18,"[8,17,34,7]","[8,2,5,8]","[[8,17,34,7],[8,2,5,8]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s19,"[14,1,33,14]","[14,16,28,17]","[[14,1,33,14],[14,16,28,17]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s20,"[14,7,29,17]","[14,8,34,2]","[[14,7,29,17],[14,8,34,2]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s21,"[14,15,6,2]","[14,1,33,14]","[[14,15,6,2],[14,1,33,14]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s22,"[14,16,28,17]","[14,15,6,2]","[[14,16,28,17],[14,15,6,2]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s23,"[14,17,10,2]","[14,2,9,14]","[[14,17,10,2],[14,2,9,14]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s24,"[15,7,28,7]","[15,8,6,8]","[[15,7,28,7],[15,8,6,8]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s25,"[15,14,29,7]","[15,17,34,8]","[[15,14,29,7],[15,17,34,8]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s26,"[16,1,33,2]","[16,16,28,14]","[[16,1,33,2],[16,16,28,14]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s27,"[16,7,29,14]","[16,8,34,17]","[[16,7,29,14],[16,8,34,17]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s28,"[16,15,6,17]","[16,1,33,2]","[[16,15,6,17],[16,1,33,2]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s29,"[16,16,28,14]","[16,15,6,17]","[[16,16,28,14],[16,15,6,17]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s30,"[16,17,10,17]","[16,2,9,2]","[[16,17,10,17],[16,2,9,2]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s31,"[17,2,5,7]","[17,14,29,8]","[[17,2,5,7],[17,14,29,8]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
