cycle_id,generator_index,generator,generator_exponents,base_K_index,base_K_exponents,vertex_K_indices,edge_job_ids,generator_templates_available,common_basis_composition_emitted,strict_equality_computed,chain_homotopy_emitted,coherence_closed,status
0,0,e0,"[1,0,0,0]",0,"[0,0,0,0]","[0,27,54,0]","[0,108,216]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
1,0,e0,"[1,0,0,0]",1,"[0,0,0,1]","[1,28,55,1]","[4,112,220]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
2,0,e0,"[1,0,0,0]",2,"[0,0,0,2]","[2,29,56,2]","[8,116,224]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
3,0,e0,"[1,0,0,0]",3,"[0,0,1,0]","[3,30,57,3]","[12,120,228]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
4,0,e0,"[1,0,0,0]",4,"[0,0,1,1]","[4,31,58,4]","[16,124,232]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
5,0,e0,"[1,0,0,0]",5,"[0,0,1,2]","[5,32,59,5]","[20,128,236]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
6,0,e0,"[1,0,0,0]",6,"[0,0,2,0]","[6,33,60,6]","[24,132,240]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
7,0,e0,"[1,0,0,0]",7,"[0,0,2,1]","[7,34,61,7]","[28,136,244]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
8,0,e0,"[1,0,0,0]",8,"[0,0,2,2]","[8,35,62,8]","[32,140,248]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
9,0,e0,"[1,0,0,0]",9,"[0,1,0,0]","[9,36,63,9]","[36,144,252]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
10,0,e0,"[1,0,0,0]",10,"[0,1,0,1]","[10,37,64,10]","[40,148,256]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
11,0,e0,"[1,0,0,0]",11,"[0,1,0,2]","[11,38,65,11]","[44,152,260]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
12,0,e0,"[1,0,0,0]",12,"[0,1,1,0]","[12,39,66,12]","[48,156,264]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
13,0,e0,"[1,0,0,0]",13,"[0,1,1,1]","[13,40,67,13]","[52,160,268]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
14,0,e0,"[1,0,0,0]",14,"[0,1,1,2]","[14,41,68,14]","[56,164,272]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
15,0,e0,"[1,0,0,0]",15,"[0,1,2,0]","[15,42,69,15]","[60,168,276]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
16,0,e0,"[1,0,0,0]",16,"[0,1,2,1]","[16,43,70,16]","[64,172,280]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
17,0,e0,"[1,0,0,0]",17,"[0,1,2,2]","[17,44,71,17]","[68,176,284]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
18,0,e0,"[1,0,0,0]",18,"[0,2,0,0]","[18,45,72,18]","[72,180,288]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
19,0,e0,"[1,0,0,0]",19,"[0,2,0,1]","[19,46,73,19]","[76,184,292]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
20,0,e0,"[1,0,0,0]",20,"[0,2,0,2]","[20,47,74,20]","[80,188,296]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
21,0,e0,"[1,0,0,0]",21,"[0,2,1,0]","[21,48,75,21]","[84,192,300]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
22,0,e0,"[1,0,0,0]",22,"[0,2,1,1]","[22,49,76,22]","[88,196,304]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
23,0,e0,"[1,0,0,0]",23,"[0,2,1,2]","[23,50,77,23]","[92,200,308]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
24,0,e0,"[1,0,0,0]",24,"[0,2,2,0]","[24,51,78,24]","[96,204,312]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
25,0,e0,"[1,0,0,0]",25,"[0,2,2,1]","[25,52,79,25]","[100,208,316]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
26,0,e0,"[1,0,0,0]",26,"[0,2,2,2]","[26,53,80,26]","[104,212,320]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
27,1,e1,"[0,1,0,0]",0,"[0,0,0,0]","[0,9,18,0]","[1,37,73]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
28,1,e1,"[0,1,0,0]",1,"[0,0,0,1]","[1,10,19,1]","[5,41,77]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
29,1,e1,"[0,1,0,0]",2,"[0,0,0,2]","[2,11,20,2]","[9,45,81]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
30,1,e1,"[0,1,0,0]",3,"[0,0,1,0]","[3,12,21,3]","[13,49,85]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
31,1,e1,"[0,1,0,0]",4,"[0,0,1,1]","[4,13,22,4]","[17,53,89]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
32,1,e1,"[0,1,0,0]",5,"[0,0,1,2]","[5,14,23,5]","[21,57,93]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
33,1,e1,"[0,1,0,0]",6,"[0,0,2,0]","[6,15,24,6]","[25,61,97]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
34,1,e1,"[0,1,0,0]",7,"[0,0,2,1]","[7,16,25,7]","[29,65,101]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
35,1,e1,"[0,1,0,0]",8,"[0,0,2,2]","[8,17,26,8]","[33,69,105]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
36,1,e1,"[0,1,0,0]",27,"[1,0,0,0]","[27,36,45,27]","[109,145,181]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
37,1,e1,"[0,1,0,0]",28,"[1,0,0,1]","[28,37,46,28]","[113,149,185]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
38,1,e1,"[0,1,0,0]",29,"[1,0,0,2]","[29,38,47,29]","[117,153,189]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
39,1,e1,"[0,1,0,0]",30,"[1,0,1,0]","[30,39,48,30]","[121,157,193]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
40,1,e1,"[0,1,0,0]",31,"[1,0,1,1]","[31,40,49,31]","[125,161,197]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
41,1,e1,"[0,1,0,0]",32,"[1,0,1,2]","[32,41,50,32]","[129,165,201]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
42,1,e1,"[0,1,0,0]",33,"[1,0,2,0]","[33,42,51,33]","[133,169,205]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
43,1,e1,"[0,1,0,0]",34,"[1,0,2,1]","[34,43,52,34]","[137,173,209]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
44,1,e1,"[0,1,0,0]",35,"[1,0,2,2]","[35,44,53,35]","[141,177,213]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
45,1,e1,"[0,1,0,0]",54,"[2,0,0,0]","[54,63,72,54]","[217,253,289]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
46,1,e1,"[0,1,0,0]",55,"[2,0,0,1]","[55,64,73,55]","[221,257,293]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
47,1,e1,"[0,1,0,0]",56,"[2,0,0,2]","[56,65,74,56]","[225,261,297]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
48,1,e1,"[0,1,0,0]",57,"[2,0,1,0]","[57,66,75,57]","[229,265,301]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
49,1,e1,"[0,1,0,0]",58,"[2,0,1,1]","[58,67,76,58]","[233,269,305]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
50,1,e1,"[0,1,0,0]",59,"[2,0,1,2]","[59,68,77,59]","[237,273,309]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
51,1,e1,"[0,1,0,0]",60,"[2,0,2,0]","[60,69,78,60]","[241,277,313]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
52,1,e1,"[0,1,0,0]",61,"[2,0,2,1]","[61,70,79,61]","[245,281,317]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
53,1,e1,"[0,1,0,0]",62,"[2,0,2,2]","[62,71,80,62]","[249,285,321]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
54,2,e2,"[0,0,1,0]",0,"[0,0,0,0]","[0,3,6,0]","[2,14,26]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
55,2,e2,"[0,0,1,0]",1,"[0,0,0,1]","[1,4,7,1]","[6,18,30]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
56,2,e2,"[0,0,1,0]",2,"[0,0,0,2]","[2,5,8,2]","[10,22,34]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
57,2,e2,"[0,0,1,0]",9,"[0,1,0,0]","[9,12,15,9]","[38,50,62]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
58,2,e2,"[0,0,1,0]",10,"[0,1,0,1]","[10,13,16,10]","[42,54,66]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
59,2,e2,"[0,0,1,0]",11,"[0,1,0,2]","[11,14,17,11]","[46,58,70]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
60,2,e2,"[0,0,1,0]",18,"[0,2,0,0]","[18,21,24,18]","[74,86,98]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
61,2,e2,"[0,0,1,0]",19,"[0,2,0,1]","[19,22,25,19]","[78,90,102]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
62,2,e2,"[0,0,1,0]",20,"[0,2,0,2]","[20,23,26,20]","[82,94,106]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
63,2,e2,"[0,0,1,0]",27,"[1,0,0,0]","[27,30,33,27]","[110,122,134]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
64,2,e2,"[0,0,1,0]",28,"[1,0,0,1]","[28,31,34,28]","[114,126,138]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
65,2,e2,"[0,0,1,0]",29,"[1,0,0,2]","[29,32,35,29]","[118,130,142]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
66,2,e2,"[0,0,1,0]",36,"[1,1,0,0]","[36,39,42,36]","[146,158,170]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
67,2,e2,"[0,0,1,0]",37,"[1,1,0,1]","[37,40,43,37]","[150,162,174]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
68,2,e2,"[0,0,1,0]",38,"[1,1,0,2]","[38,41,44,38]","[154,166,178]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
69,2,e2,"[0,0,1,0]",45,"[1,2,0,0]","[45,48,51,45]","[182,194,206]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
70,2,e2,"[0,0,1,0]",46,"[1,2,0,1]","[46,49,52,46]","[186,198,210]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
71,2,e2,"[0,0,1,0]",47,"[1,2,0,2]","[47,50,53,47]","[190,202,214]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
72,2,e2,"[0,0,1,0]",54,"[2,0,0,0]","[54,57,60,54]","[218,230,242]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
73,2,e2,"[0,0,1,0]",55,"[2,0,0,1]","[55,58,61,55]","[222,234,246]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
74,2,e2,"[0,0,1,0]",56,"[2,0,0,2]","[56,59,62,56]","[226,238,250]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
75,2,e2,"[0,0,1,0]",63,"[2,1,0,0]","[63,66,69,63]","[254,266,278]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
76,2,e2,"[0,0,1,0]",64,"[2,1,0,1]","[64,67,70,64]","[258,270,282]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
77,2,e2,"[0,0,1,0]",65,"[2,1,0,2]","[65,68,71,65]","[262,274,286]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
78,2,e2,"[0,0,1,0]",72,"[2,2,0,0]","[72,75,78,72]","[290,302,314]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
79,2,e2,"[0,0,1,0]",73,"[2,2,0,1]","[73,76,79,73]","[294,306,318]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
80,2,e2,"[0,0,1,0]",74,"[2,2,0,2]","[74,77,80,74]","[298,310,322]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
81,3,e3,"[0,0,0,1]",0,"[0,0,0,0]","[0,1,2,0]","[3,7,11]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
82,3,e3,"[0,0,0,1]",3,"[0,0,1,0]","[3,4,5,3]","[15,19,23]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
83,3,e3,"[0,0,0,1]",6,"[0,0,2,0]","[6,7,8,6]","[27,31,35]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
84,3,e3,"[0,0,0,1]",9,"[0,1,0,0]","[9,10,11,9]","[39,43,47]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
85,3,e3,"[0,0,0,1]",12,"[0,1,1,0]","[12,13,14,12]","[51,55,59]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
86,3,e3,"[0,0,0,1]",15,"[0,1,2,0]","[15,16,17,15]","[63,67,71]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
87,3,e3,"[0,0,0,1]",18,"[0,2,0,0]","[18,19,20,18]","[75,79,83]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
88,3,e3,"[0,0,0,1]",21,"[0,2,1,0]","[21,22,23,21]","[87,91,95]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
89,3,e3,"[0,0,0,1]",24,"[0,2,2,0]","[24,25,26,24]","[99,103,107]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
90,3,e3,"[0,0,0,1]",27,"[1,0,0,0]","[27,28,29,27]","[111,115,119]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
91,3,e3,"[0,0,0,1]",30,"[1,0,1,0]","[30,31,32,30]","[123,127,131]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
92,3,e3,"[0,0,0,1]",33,"[1,0,2,0]","[33,34,35,33]","[135,139,143]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
93,3,e3,"[0,0,0,1]",36,"[1,1,0,0]","[36,37,38,36]","[147,151,155]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
94,3,e3,"[0,0,0,1]",39,"[1,1,1,0]","[39,40,41,39]","[159,163,167]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
95,3,e3,"[0,0,0,1]",42,"[1,1,2,0]","[42,43,44,42]","[171,175,179]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
96,3,e3,"[0,0,0,1]",45,"[1,2,0,0]","[45,46,47,45]","[183,187,191]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
97,3,e3,"[0,0,0,1]",48,"[1,2,1,0]","[48,49,50,48]","[195,199,203]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
98,3,e3,"[0,0,0,1]",51,"[1,2,2,0]","[51,52,53,51]","[207,211,215]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
99,3,e3,"[0,0,0,1]",54,"[2,0,0,0]","[54,55,56,54]","[219,223,227]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
100,3,e3,"[0,0,0,1]",57,"[2,0,1,0]","[57,58,59,57]","[231,235,239]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
101,3,e3,"[0,0,0,1]",60,"[2,0,2,0]","[60,61,62,60]","[243,247,251]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
102,3,e3,"[0,0,0,1]",63,"[2,1,0,0]","[63,64,65,63]","[255,259,263]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
103,3,e3,"[0,0,0,1]",66,"[2,1,1,0]","[66,67,68,66]","[267,271,275]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
104,3,e3,"[0,0,0,1]",69,"[2,1,2,0]","[69,70,71,69]","[279,283,287]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
105,3,e3,"[0,0,0,1]",72,"[2,2,0,0]","[72,73,74,72]","[291,295,299]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
106,3,e3,"[0,0,0,1]",75,"[2,2,1,0]","[75,76,77,75]","[303,307,311]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
107,3,e3,"[0,0,0,1]",78,"[2,2,2,0]","[78,79,80,78]","[315,319,323]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
